Title,Author,Category,Pages,Publisher
Fundamentals of Wavelets,Goswami Jaideva,signal_processing,228,Wiley
Data Smart,Foreman John,data_science,235,Wiley
God Created the Integers,Hawking Stephen,mathematics,197,Penguin
Superfreakonomics,Dubner Stephen,economics,179,HarperCollins
Orientalism,Said Edward,history,197,Penguin
Nature of Statistical Learning Theory The,Vapnik Vladimir,data_science,230,Springer
Integration of the Indian States,Menon V P,history,217,Orient Blackswan
Drunkard's Walk The,Mlodinow Leonard,mathematics,197,Penguin
Image Processing & Mathematical Morphology,Shih Frank,signal_processing,241,CRC
How to Think Like Sherlock Holmes,Konnikova Maria,psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress
Slaughterhouse Five,Vonnegut Kurt,classic,198,Random House
Birth of a Theorem,Villani Cedric,mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,Sussman Gerald,computer_science,240,MIT Press
Age of Wrath The,Eraly Abraham,history,238,Penguin
Trial The,Kafka Frank,classic,198,Random House
Statistical Decision Theory',Pratt John,data_science,236,MIT Press
Data Mining Handbook,Nisbet Robert,data_science,242,Apress
New Machiavelli The,Wells H. G.,novel,180,Penguin
Physics & Philosophy,Heisenberg Werner,science,197,Penguin
Making Software,Oram Andy,computer_science,232,O'Reilly
Analysis Vol I,Tao Terence,mathematics,248,HBA
Machine Learning for Hackers,Conway Drew,data_science,233,O'Reilly
Signal and the Noise The,Silver Nate,data_science,233,Penguin
Python for Data Analysis,McKinney Wes,data_science,233,O'Reilly
Introduction to Algorithms,Cormen Thomas,computer_science,234,MIT Press
Beautiful and the Damned The,Deb Siddhartha,history,198,Penguin
Outsider The,Camus Albert,classic,198,Penguin
Complete Sherlock Holmes The - Vol I,Doyle Arthur Conan,classic,176,Random House
Complete Sherlock Holmes The - Vol II,Doyle Arthur Conan,classic,176,Random House
Wealth of Nations The,Smith Adam,economics,175,Random House
Pillars of the Earth The,Follett Ken,novel,176,Random House
Mein Kampf,Hitler Adolf,autobiography,212,Rupa
Tao of Physics The,Capra Fritjof,physics,179,Penguin
Surely You're Joking Mr Feynman,Feynman Richard,physics,198,Random House
Farewell to Arms A,Hemingway Ernest,classic,179,Rupa
Veteran The,Forsyth Frederick,novel,177,Transworld
False Impressions,Archer Jeffery,novel,177,Pan
Last Lecture The,Pausch Randy,autobiography,197,Hyperion
Return of the Primitive,Rand Ayn,objectivism,202,Penguin
Jurassic Park,Crichton Michael,novel,174,Random House
Russian Journal A,Steinbeck John,history,196,Penguin
Tales of Mystery and Imagination,Poe Edgar Allen,classic,172,HarperCollins
Freakonomics,Dubner Stephen,economics,197,Penguin
Hidden Connections The,Capra Fritjof,physics,197,HarperCollins
Story of Philosophy The,Durant Will,history,170,Pocket
Asami Asami,Deshpande P L,novel,205,Mauj
Journal of a Novel,Steinbeck John,classic,196,Penguin
Once There Was a War,Steinbeck John,history,196,Penguin
Moon is Down The,Steinbeck John,classic,196,Penguin
Brethren The,Grisham John,novel,174,Random House
In a Free State,Naipaul V. S.,novel,196,Rupa
Catch 22,Heller Joseph,classic,178,Random House
Complete Mastermind The,BBC,trivia,178,BBC
Dylan on Dylan,Dylan Bob,autobiography,197,Random House
Soft Computing & Intelligent Systems,Gupta Madan,data_science,242,Elsevier
Textbook of Economic Theory,Stonier Alfred,economics,242,Pearson
Econometric Analysis,Greene W. H.,economics,242,Pearson
Learning OpenCV,Bradsky Gary,signal_processing,232,O'Reilly
Data Structures Using C & C++,Tanenbaum Andrew,computer_science,235,Prentice Hall
Computer Vision A Modern Approach,Forsyth David,signal_processing,255,Pearson
Principles of Communication Systems,Taub Schilling,signal_processing,240,TMH
Let Us C,Kanetkar Yashwant,computer_science,213,Prentice Hall
Amulet of Samarkand The,Stroud Jonathan,novel,179,Random House
Crime and Punishment,Dostoevsky Fyodor,classic,180,Penguin
Angels & Demons,Brown Dan,novel,178,Random House
Argumentative Indian The,Sen Amartya,history,209,Picador
Sea of Poppies,Ghosh Amitav,novel,197,Penguin
Idea of Justice The,Sen Amartya,economics,212,Penguin
Raisin in the Sun A,Hansberry Lorraine,novel,175,Penguin
All the President's Men,Woodward Bob,history,177,Random House
Prisoner of Birth A,Archer Jeffery,novel,176,Pan
Scoop!,Nayar Kuldip,history,216,HarperCollins
Ahe Manohar Tari,Deshpande Sunita,autobiography,213,Mauj
Last Mughal The,Dalrymple William,history,199,Penguin
